composition,structure_id,energyperatom
K1Zn1Bi1,KZnBi_NaBeSb_194,-2.366289903
K1Zn1Bi1,KZnBi_NaBeAs_194,-2.366068142
K1Zn1Bi1,KZnBi_LiBeSb_186,-2.365980835
K1Zn1Bi1,KZnBi_EuPPt_164,-2.3657319930000003
K1Zn1Bi1,KZnBi_KZnSb_194_2,-2.3582957319999998
K1Zn1Bi1,KZnBi_KZnAs_194_2,-2.358260382
K1Zn1Bi1,KZnBi_KZnP_194,-2.35791176
K1Zn1Bi1,KZnBi_YPPt_187,-2.3553713
K1Zn1Bi1,KZnBi_LiZbSb_186,-2.353993448
K1Zn1Bi1,KZnBi_KZnSb_194_1,-2.346951367
K1Zn1Bi1,KZnBi_KZnSb_187,-2.346340697
K1Zn1Bi1,KZnBi_KZnAs_187_1,-2.346300293
K1Zn1Bi1,KZnBi_LiFeAs_129,-2.3439716930000003
K1Zn1Bi1,KZnBi_LiBeAs_129,-2.343117452
K1Zn1Bi1,KZnBi_NaZnP_129_2,-2.342528007
K1Zn1Bi1,KZnBi_NaZnAs_129,-2.342161393
K1Zn1Bi1,KZnBi_NaZnP_129_1,-2.340907005
K1Zn1Bi1,KZnBi_KCdSb_129,-2.3396884769999997
K1Zn1Bi1,KZnBi_KCdAs_129,-2.339688475
K1Zn1Bi1,KZnBi_NaZnSb_129,-2.338966278
K1Zn1Bi1,KZnBi_NaCdAs_62_2,-2.337746223
K1Zn1Bi1,KZnBi_NaCdAs_62_1,-2.33759343
K1Zn1Bi1,KZnBi_NaCdSb_62,-2.337353088
K1Zn1Bi1,KZnBi_KSnSb_186,-2.29984865
K1Zn1Bi1,KZnBi_NaSnP_186,-2.29367066
K1Zn1Bi1,KZnBi_KSnAs_186,-2.280956635
K1Zn1Bi1,KZnBi_LaPIr_109,-2.27022635
K1Zn1Bi1,KZnBi_HfAsRu_46,-2.198330821
K1Zn1Bi1,KZnBi_TiFeP_189,-2.196026742
K1Zn1Bi1,KZnBi_LiMnAs_129,-2.156020723
K1Zn1Bi1,KZnBi_MgAgSb_120,-2.1021685619999997
K1Zn1Bi1,KZnBi_ZnCuAs_216,-2.075732221
K1Zn1Bi1,KZnBi_LiZnP_216_2,-2.073089757
K1Zn1Bi1,KZnBi_LiZnAs_216,-2.07302771
K1Zn1Bi1,KZnBi_NbCrN_99,-2.013856388
K1Zn1Bi1,KZnBi_LiNiN_187,-1.923603537
K1Zn1Bi1,KZnBi_SrSnP_129,-1.74284662
K1Zn1Bi1,KZnBi_MnCoSb_225,-1.69855024
K1Zn1Bi1,KZnBi_SrLiN_131,-1.6796354130000002
K1Zn1Bi1,KZnBi_LiCdP_216,-1.5944019269999998
K1Zn1Bi1,KZnBi_LiCdAs_216,-1.594355283
K1Zn1Bi1,KZnBi_LiZnP_216_1,-1.5943295869999998
Cs1Ge1Sb1,CsGeSb_NaCdSb_62,-3.44089911
Cs1Ge1Sb1,CsGeSb_KSnSb_186,-3.4401395619999997
Cs1Ge1Sb1,CsGeSb_NaSnP_186,-3.43763341
Cs1Ge1Sb1,CsGeSb_KSnAs_186,-3.433652915
Cs1Ge1Sb1,CsGeSb_NaZnSb_129,-3.40532526
Cs1Ge1Sb1,CsGeSb_KCdSb_129,-3.403472645
Cs1Ge1Sb1,CsGeSb_KCdAs_129,-3.40243407
Cs1Ge1Sb1,CsGeSb_NaZnP_129_2,-3.400754955
Cs1Ge1Sb1,CsGeSb_NaZnP_129_1,-3.400750285
Cs1Ge1Sb1,CsGeSb_LiBeP_129,-3.400472635
Cs1Ge1Sb1,CsGeSb_NaZnAs_129,-3.400241095
Cs1Ge1Sb1,CsGeSb_MgAgSb_120,-3.3305930160000004
Cs1Ge1Sb1,CsGeSb_KZnAs_187_1,-3.32235311
Cs1Ge1Sb1,CsGeSb_LiMnAs_129,-3.256834382
Cs1Ge1Sb1,CsGeSb_TiFeP_189,-3.20123763
Cs1Ge1Sb1,CsGeSb_LiBeSb_186,-3.143170108
Cs1Ge1Sb1,CsGeSb_SrSnP_129,-3.11009776
Cs1Ge1Sb1,CsGeSb_ZnCuAs_216,-2.870196061
Cs1Ge1Sb1,CsGeSb_LiZnP_216_2,-2.86794666
Cs1Ge1Sb1,CsGeSb_NdNiP_194,-2.558621503
Cs1Ge1Sb1,CsGeSb_SrLiN_131,-2.547767835
Cs1Ge1Sb1,CsGeSb_LiZnP_216_1,-2.349447057
Rb1As1,RbAs,-3.237408716
Cs1Zn1Sb1,CsZnSb_YPPt_187,-2.47302205
Cs1Zn1Sb1,CsZnSb_KZnP_194,-2.4716227369999997
Cs1Zn1Sb1,CsZnSb_NaBeAs_194,-2.471582872
Cs1Zn1Sb1,CsZnSb_NaBeSb_194,-2.47155226
Cs1Zn1Sb1,CsZnSb_KZnAs_194_2,-2.463914243
