composition,icsdnum,energyperatom
Hf1N1,183420.0,-9.855
Hf1N1,183419.0,-9.855
Hf3N4,97997.0,-9.822000000000001
Hf1N1,167875.0,-9.663
Hf1O2,71354.0,-9.607999999999999
Hf1O2,173967.0,-9.573
C1W1,246150.0,-9.535
C1W2,43017.0,-9.493
Hf1O2,87457.0,-9.485
C1W2,162419.0,-9.478
N1W2,30354.0,-9.375
Hf2O7Y2,153819.0,-9.245
Ca1Hf4O9,108957.0,-9.201
Ca2Hf7O16,4136.0,-9.151
N4Zr3,152050.0,-9.119
N1Zr1,183181.0,-9.1
C1W1,167896.0,-9.071
N4Zr3,97998.0,-9.06
N1W1,76005.0,-9.055
Hf2La2O7,153815.0,-9.045
O2Zr1,15983.0,-8.964
N4W3,30370.0,-8.958
O2Zr1,173960.0,-8.951
O2Zr1,67004.0,-8.947000000000001
O2Zr1,93028.0,-8.936
O2Zr1,173962.0,-8.929
Cr1N2W1,84639.0,-8.888
O2Zr1,56696.0,-8.857999999999999
O7Y2Zr2,153818.0,-8.852
N1Zr1,167867.0,-8.843
N1W1,167877.0,-8.841000000000001
Hf1O4Si1,59111.0,-8.793
B1N1,162871.0,-8.781
B1N1,20946.0,-8.78
N1Nb1,76385.0,-8.777000000000001
N6Nb5,26252.0,-8.773
O1W3,52344.0,-8.764
O1W3,150496.0,-8.755
N5Nb4,26251.0,-8.738999999999999
O3Y2,160890.0,-8.731
C4Mn3W10,618281.0,-8.718
O12W1Y6,92037.0,-8.715
B1N1,182731.0,-8.714
O21W2Y10,35239.0,-8.707
B1N1,27986.0,-8.696
N3Nb2,182699.0,-8.687999999999999
N1Zr1,161885.0,-8.681000000000001
P1W3,648282.0,-8.679
O3Y2,160219.0,-8.679
N1W1,30381.0,-8.668
Hf9P1W4,638765.0,-8.668
O6W1Y2,20955.0,-8.667
O6W1Y2,65811.0,-8.667
La2O7Zr2,153814.0,-8.665
O3Y2,160204.0,-8.65
B1N1,162879.0,-8.648
Ca1O9Zr4,69168.0,-8.631
B1N1,162875.0,-8.611
O3Y2,181828.0,-8.604
N1Sc1,644667.0,-8.595
N1Sc1,180830.0,-8.595
N1Nb1,76384.0,-8.595
N1Nb1,644543.0,-8.595
N1Ti1,644775.0,-8.594
N1Ti1,64907.0,-8.593
O3Sc2,27948.0,-8.593
C2W1Y1,619103.0,-8.591000000000001
C1Nb1,26955.0,-8.59
As1Hf9W4,610661.0,-8.579
Mn1N2W1,80029.0,-8.576
C5Nb6,20695.0,-8.568999999999999
B1N1,162881.0,-8.565
Hf9S1W4,638867.0,-8.561
N1Nb1,76008.0,-8.554
N1Y1,183179.0,-8.551
N1Nb1,644552.0,-8.545
N1Nb1,644545.0,-8.545
